Rank,Setting,Overall (M),Men (M),Women (M),Sig
1,Dating App/Site,4.10,4.13,4.06,
2,Party,4.04,4.04,4.06,
3,Sex Party,4.01,3.95,4.05,
4,Nightclub,3.89,3.95,3.84,
5,Bar,3.83,3.82,3.84,
6,Your Residence,3.76,3.84,3.72,
7,Festival,3.73,3.78,3.68,
9,Social Club/Hobby Event,3.64,3.78,3.49,
11,Concert,3.51,3.55,3.49,
8,Beach,3.65,3.96,3.35,***
14,Coffee Shop,3.43,3.55,3.31,
15,School/Campus,3.43,3.61,3.27,
12,Vacation Tourist Attraction,3.46,3.69,3.26,*
13,Friend’s Residence,3.44,3.63,3.26,*
10,Social Media,3.53,3.83,3.24,**
19,Sporting Event,3.31,3.42,3.23,
16,Wedding,3.39,3.61,3.20,*
18,Car,3.33,3.53,3.16,
17,Restaurant,3.35,3.58,3.13,*
20,Park,3.25,3.49,3.04,*
22,Movie Theater,3.23,3.47,3.02,*
24,Shopping Mall,3.17,3.33,3.01,
25,Museum/Gallery,3.07,3.15,2.98,
23,Online Chatroom,3.17,3.42,2.93,*
21,Community Event,3.23,3.59,2.89,***
33,Elevator,2.93,3.14,2.76,
29,Parking Lot,2.98,3.24,2.74,*
26,Online Multiplayer Game,3.04,3.39,2.70,***
30,Grocery Store,2.96,3.24,2.70,**
39,Library,2.83,2.96,2.70,
27,Gym,3.00,3.35,2.68,***
28,"Long-Term Public Transport  (Train, Greyhound)",2.99,3.33,2.68,***
31,Retail Store,2.94,3.24,2.68,*
37,Classroom,2.88,3.12,2.68,*
36,Laundromat,2.89,3.14,2.67,*
35,Short-Term Public Transport,2.92,3.23,2.64,**
38,Airplane,2.83,3.06,2.63,*
32,Street/Sidewalk,2.94,3.30,2.62,***
34,Travel Station,2.93,3.28,2.61,***
40,Bathroom (In or Near),2.79,3.04,2.57,*
41,Zoom,2.72,2.94,2.51,*
44,Pharmacy,2.64,2.95,2.37,**
43,Family Party/Reunion,2.70,3.08,2.36,**
42,Workplace,2.72,3.13,2.35,***
45,Church/House of Worship,2.53,2.86,2.23,**
46,LinkedIn,2.35,2.61,2.12,*
47,Doctor’s Office,2.34,2.70,2.01,***
48,Funeral,1.87,2.15,1.61,**
