Series Name,Country Name,Time,Value
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Nigeria,2013.0,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Nigeria,2014.0,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Nigeria,2015.0,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Nigeria,2016.0,8.45940971374512
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Nigeria,2017.0,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Nigeria,2018.0,10.6070604324341
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Nigeria,2019.0,8.80994033813477
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Nigeria,2020.0,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Nigeria,2021.0,14.1861295700073
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Nigeria,2022.0,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Nigeria,2013.0,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Nigeria,2014.0,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Nigeria,2015.0,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Nigeria,2016.0,3.64716005325317
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Nigeria,2017.0,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Nigeria,2018.0,5.79977989196777
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Nigeria,2019.0,4.65197992324829
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Nigeria,2020.0,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Nigeria,2021.0,8.01961994171143
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Nigeria,2022.0,..
,,,
,,,
,,,
Data from database: Gender Statistics,,,
Last Updated: 01/03/2024,,,
