Entity,Code,Year,Annual plastic production between 1950 and 2019,sas
World,OWID_WRL,1950-01-01,2000000,24000000
World,OWID_WRL,1951-01-01,2000000,24000000
World,OWID_WRL,1952-01-01,2000000,24000000
World,OWID_WRL,1953-01-01,3000000,36000000
World,OWID_WRL,1954-01-01,3000000,36000000
World,OWID_WRL,1955-01-01,4000000,48000000
World,OWID_WRL,1956-01-01,5000000,60000000
World,OWID_WRL,1957-01-01,5000000,60000000
World,OWID_WRL,1958-01-01,6000000,72000000
World,OWID_WRL,1959-01-01,7000000,84000000
World,OWID_WRL,1960-01-01,8000000,96000000
World,OWID_WRL,1961-01-01,9000000,108000000
World,OWID_WRL,1962-01-01,11000000,132000000
World,OWID_WRL,1963-01-01,13000000,156000000
World,OWID_WRL,1964-01-01,15000000,180000000
World,OWID_WRL,1965-01-01,17000000,204000000
World,OWID_WRL,1966-01-01,20000000,240000000
World,OWID_WRL,1967-01-01,23000000,276000000
World,OWID_WRL,1968-01-01,27000000,324000000
World,OWID_WRL,1969-01-01,32000000,384000000
World,OWID_WRL,1970-01-01,35000000,420000000
World,OWID_WRL,1971-01-01,38000000,456000000
World,OWID_WRL,1972-01-01,44000000,528000000
World,OWID_WRL,1973-01-01,51000000,612000000
World,OWID_WRL,1975-01-01,46000000,552000000
World,OWID_WRL,1976-01-01,54000000,648000000
World,OWID_WRL,1977-01-01,59000000,708000000
World,OWID_WRL,1978-01-01,64000000,768000000
World,OWID_WRL,1979-01-01,71000000,852000000
World,OWID_WRL,1980-01-01,70000000,840000000
World,OWID_WRL,1981-01-01,72000000,864000000
World,OWID_WRL,1982-01-01,73000000,876000000
World,OWID_WRL,1983-01-01,80000000,960000000
World,OWID_WRL,1984-01-01,86000000,1032000000
World,OWID_WRL,1985-01-01,90000000,1080000000
World,OWID_WRL,1986-01-01,96000000,1152000000
World,OWID_WRL,1987-01-01,104000000,1248000000
World,OWID_WRL,1988-01-01,110000000,1320000000
World,OWID_WRL,1989-01-01,114000000,1368000000
World,OWID_WRL,1990-01-01,120000000,1440000000
World,OWID_WRL,1991-01-01,124000000,1488000000
World,OWID_WRL,1992-01-01,132000000,1584000000
World,OWID_WRL,1993-01-01,137000000,1644000000
World,OWID_WRL,1994-01-01,151000000,1812000000
World,OWID_WRL,1995-01-01,156000000,1872000000
World,OWID_WRL,1996-01-01,168000000,2016000000
World,OWID_WRL,1997-01-01,180000000,2160000000
World,OWID_WRL,1998-01-01,188000000,2256000000
World,OWID_WRL,1999-01-01,202000000,2424000000
World,OWID_WRL,2000-01-01,213000000,2556000000
World,OWID_WRL,2001-01-01,218000000,2616000000
World,OWID_WRL,2002-01-01,231000000,2772000000
World,OWID_WRL,2003-01-01,241000000,2892000000
World,OWID_WRL,2004-01-01,256000000,3072000000
World,OWID_WRL,2005-01-01,263000000,3156000000
World,OWID_WRL,2006-01-01,280000000,3360000000
World,OWID_WRL,2007-01-01,295000000,3540000000
World,OWID_WRL,2008-01-01,281000000,3372000000
World,OWID_WRL,2009-01-01,288000000,3456000000
World,OWID_WRL,2010-01-01,313000000,3756000000
World,OWID_WRL,2011-01-01,325000000,3900000000
World,OWID_WRL,2012-01-01,338000000,4056000000
World,OWID_WRL,2013-01-01,352000000,4224000000
World,OWID_WRL,2014-01-01,367000000,4404000000
World,OWID_WRL,2015-01-01,381000000,4572000000
World,OWID_WRL,2016-01-01,400050000,4800600000
World,OWID_WRL,2017-01-01,420052500,5040630000
World,OWID_WRL,2018-01-01,441055140,5292661680
World,OWID_WRL,2019-01-01,459746020,5516952240
