Username,Like_Count,Created_At,Comment
queefert291,3528,2025-12-03 13:32:42,Working the corner
ethansolum,36970,2025-12-02 23:13:36,Stenography
apollyonsteel,3023,2025-12-04 00:23:26,"I here phlebotomy isn’t boring, really keeps the blood pumping…"
vbrockjohnson,81715,2025-12-04 12:53:05,get a rich wife and just
ghostlore2,34749,2025-12-04 03:07:17,be a YouTuber and make AI generated content
meow_kitty_45,20799,2025-12-04 03:45:33,Idk man I’m a stripper
frozendairy,98,2025-12-05 19:15:19,Phlebotomy!!!! I'm 24 been doing phlebotomy since I was 21. I get paid good money and have worked at hospitals and now a clinic. Mobile phlebotomy is where it's at$$! Not demanding at all you only called when a patient has lab work. 5-7 minute interaction max depending. I also did not go to college I did a 8 week course and got hired at the hospital I interned during my course.
she.loves.tomas,216,2025-12-03 23:23:53,HOW IS NO ONE SAYING REAL ESTATE AGENT but all you need is “social skills”
..helianthus,13451,2025-12-09 07:47:02,me with the same issue just scrolling the comments
velvetier_hades,18030,2025-12-04 12:37:08,Hate when ppl act like having no passion is not normal when we were never meant to have 9-5s
starlla_mck,3996,2025-12-03 22:08:58,DO NOT DO HEALTH CARE!!!!
m.g913,655,2025-12-04 04:26:17,"Pharmacy technician but work in mail order. I don’t talk to anybody but coworkers and I’m aloud to listen to music, and depending on the company but I make 1k every 2weeks"
gomuking_0,89,2025-12-04 03:22:43,"Chat, what are some careers that has no math, easy af and doesn’t require college or physical labor? Oh and you don’t gotta be smart for it. And for someone who has no passion for anything. 🙏🙏💔"
big_boy_cole,20584,2025-12-03 14:02:19,Literally look for the highest paying job on indeed 😭
bri10203,3140,2025-12-04 01:40:42,i just wanna stay home all day and make money is that too much to ask
riplixx,2777,2025-12-03 19:17:33,Warehouse jobs as boring as people make them seem are very good jobs most of the time just make sure ur not stuck around the oldheads who complain about everything and say our generation got it good 😭
charliez123,138,2025-12-03 15:10:12,day trading
owenr08.0,54819,2025-12-03 18:28:09,
tortaslayer123,454,2025-12-03 18:17:16,"""what are good careers for someone who is lazy and wants free money"""
dre_12.04,927,2025-12-03 12:15:28,tbh bro i’m a security guard rn and i like my job i barely do anything and it’s the easiest money
mypeepeestings,123035,2025-12-04 01:19:14,he said no passion nd yall are suggesting healthcare😭 those rude patients gonna test tf out of your no passion ass
urfavnumber6ix,5112,2025-12-03 05:45:43,"find ur passion, hope this helps"
its_rory888,25,2025-12-10 15:32:52,Digital marketing i made 16k as a beginner
its_mheage,673,2025-12-04 03:26:21,midnight ballerina 🥹🙏
reedregante,22323,2025-12-03 18:12:45,Bro just run for president
unclefester010,10911,2025-12-03 17:42:03,Roommates and minimum wage
billieeilishbiggestfann0,307,2025-12-03 23:43:01,bro frrr why is everyone making jokes i need help fr
jude2clean,66,2025-12-03 03:33:41,Welding by far bro
xavier.x.g,4269,2025-12-03 19:13:22,rich wife
patmurtha04,26758,2025-12-03 23:10:09,Cardboard box under a freeway
g0.fluff.yourself,22960,2025-12-03 14:13:21,Crime
ha.yden6907,89,2025-12-03 21:53:27,Military
justinweissmann,184,2025-12-03 16:18:59,"Day trading, stocks, insurance, real estate, get into collecting/reselling for sports and pokemon, do lawn services, shovel/snow blow, doordash, instacart. Ain’t many excuses bro there’s tons of hustles"
mr.worldwidespokesperson,3688,2025-12-03 11:43:19,idk bruh im in the same position
user294747802,7,2025-12-11 14:17:33,im gonna get a rich husband🥰
samanthagiddings5,7879,2025-12-03 20:36:20,Front desk lady
she_really_hates_wil,3613,2025-12-03 04:14:35,"ultrasound tech, 2 yr associate degree which you can get at a community college, and the bennys are tight"
cupids.kill,18238,2025-12-03 22:58:35,Guys please don’t go into healthcare unless you have a passion for it😭😭
unfrigettable,75,2025-12-04 07:10:26,what if u have no passion but don’t wanna be bored / hate work 😭
ty_t538,1647,2025-12-03 04:16:07,gambling
cucker_tarlson92,2,2025-12-20 21:08:24,Pretty weird to be scrolling tik tok and stumble upon someone I went to high school with. Hope you’re well Johnny go lions
thecoolestaub,421,2025-12-03 21:48:12,don’t delete this i need the comments
igor.47,0,2025-12-20 03:18:24,"Guys I'm a introvert and in a half year I'm ending school, I was thinking about maybe data analyst because it's a office job so I think it's more relaxing longterm, or as a security preferably bodyguard.
But I'm not sure, and I want definitely a job that pays well and later very well and preferably is more comfortable in couple of years. Any tips or better recommendations ? (I'm 19 btw)"
unrealisticlyaccurate,56,2025-12-05 12:54:24,Buy a vending machine
lilgabriel04,134,2025-12-03 18:33:31,Security
kenny.2.kozy,2817,2025-12-16 13:31:31,stenography easy 6 figures
supersaiyam1,7,2025-12-19 23:29:47,Sonography. Easy 6 figures
kissmyasbitch,9788,2025-12-04 03:06:58,sonography is the method bruh
kegifret,22402,2025-12-03 16:24:52,phlebotomy it's easy to get into
noooconnectionnn,9,2025-12-04 21:21:10,"Data centers, trust me bro"
juustmatt,3363,2025-12-02 22:56:30,Under water basket weaving
nebula_0fdreams,130,2025-12-22 17:07:50,Nepotism I guess
lizuzy2,20,2025-12-10 08:59:58,"Event management honestly. U can just go around and be part of event, concert, fashion show, etc etc. u can discover something new every"
smoopyy,22,2025-12-03 09:04:59,septic tank services
s3cretacc778,37,2025-12-03 15:34:19,long shoreman
qwaiet.voice,5,2025-12-23 13:06:50,"If your state allows it, voice writer. Same as a stenographer but the learning curb is much shorter. 1 year certificate and 6 figures in my state."
pookie_dookie.1.2.3,7,2025-12-10 12:34:47,"insurance, you don't even need to go to collage"
y0url0c4ls1llyg00b3r,8,2025-12-04 13:11:57,A cat cafe [happy] all u gotta do is take care of the cats and probably a bit more but it seems fun!
esanessa6,6,2025-12-04 04:16:31,The person who MAKES the money bills… 💵
kolethrows,5,2025-12-04 03:11:24,"Steel mill, easy work, great money. No degree needed, but it does pay more"
caitlyn.ross69,40,2025-12-03 13:22:44,Taco Bell
lowxlt,6,2025-12-04 00:20:22,sounds sad
atticcrawler11,7,2025-12-05 14:29:29,"underwater basket weaving, it’s not for everyone but you might just love it"
westc0astsadism,20,2025-12-04 02:19:43,Phlebotomist
tboogey1,11,2025-12-06 21:32:03,Why have money when you could be rich in the spirit #followGod
chibikittenfluff12,7,2025-12-04 01:37:40,motivation
landonmini,1,2026-01-06 20:28:13,Ohhh be a boilermakerrrrr
gaymario1934,1,2026-01-05 19:42:17,NO PASSION LIKE THE CAR SEAT HEdREST SONG
brooke.phillips_,1,2025-12-28 15:24:26,If you have dedication you should look into trading once you succeed you’ll have that financial freedom and freedom just in general
megs.is.cooler,6,2025-12-04 04:50:43,Dental hygiene
cookie_man_08,3,2025-12-04 04:14:00,be a chef w me twin
frankie.bello1,5,2025-12-03 19:12:56,day trading
haleylucia,3,2025-12-16 01:06:29,i worked at a jail🧍
twotone_apeezy,4,2025-12-03 21:34:07,accountant
spamming0693,4,2025-12-03 21:20:15,Door dashing??
genghisglonk,4,2025-12-03 17:14:41,brian surgeon
dc2.joey,4,2025-12-03 17:11:39,Get your cdl work for FedEx
leviissmith,2,2025-12-28 19:33:10,gambling
thestingrayfairy,2,2025-12-28 01:06:03,me and i’m a bartender
natlapier,4,2025-12-17 14:17:22,
aviationmaliq,1,2025-12-28 01:57:42,pilot
cowrape,2,2025-12-27 11:31:57,A job
mr.b0b_,4,2025-12-06 02:16:44,"Me personally, video game designing. After some research, its just like working in an office, with a team, making art and stories all day, and you can make 95,000 to 100,000 a year"
just.luxurythings,2,2025-12-27 14:46:45,Human Resources
idkmanamtrd,2,2026-01-04 17:58:40,be a corrupt politician in the philippines
haileym2913,1,2026-01-06 00:23:48,Wal-Mart cashier
pineapple.jelly,1,2026-01-05 22:59:47,crna
tyguyprime,1,2026-01-05 16:31:30,work the states dot
cutetallblonde,1,2026-01-05 16:06:38,Boeing
money.makin_mooha,1,2026-01-05 15:20:20,I think that’s everyone on earth
f_cksoko,1,2026-01-05 15:08:11,Mechanic
michigan_sq5,3,2026-01-01 20:57:48,Gambling
kayla.spam155,1,2026-01-05 08:19:29,Probably
lovetobefrench,1,2026-01-05 07:44:11,p2p arbitrage 💔
manman0217,1,2026-01-05 05:18:51,Sales bro sales
poofdelusions,1,2026-01-05 05:07:58,Accounting
ia454545,1,2026-01-05 02:57:28,money is my passion
feelin.nefarious,1,2026-01-05 00:40:02,Anesthesiologist and obgyn
user556338366,1,2026-01-04 22:31:24,accounting lmao
almightymeezus,1,2026-01-04 21:55:33,Idk but please don’t become a greedy landlord or capitalist
garrettaskey,1,2026-01-04 15:45:38,any trade brother🤝
yesmaybeornotoday,1,2026-01-04 15:41:18,Politics!!! 😂 Look at Philippines!!!
user1917185253007,2,2026-01-04 15:27:18,Drop the link
vincentarthur100,2,2026-01-04 15:04:13,Politics
chayanne.gomez4,1,2026-01-04 11:04:42,electricians
ry.deckey,4,2025-12-26 16:58:26,Lifeguard at the Olympics
cj.princi,1,2026-01-04 09:04:21,Financial advising
butterscotchr,4,2025-12-25 22:23:47,Start a church/religion
6_lol_9,3,2025-12-29 00:23:11,how i feel reading the comments trying to find something...
austindipaolo,3,2025-12-28 18:36:19,Gambling
aubr3y.j0hns,3,2025-12-28 16:14:56,nothing in healthcare for the love of God
chasemeyer_,2,2025-12-31 17:09:10,McDonald’s
amosthecompoundguy,3,2025-12-28 07:15:44,Investment banking
laceyhoneyy,3,2025-12-28 03:59:35,Hear me out. Bartending. Great $ it’s fun and social and so FUN and the money is great! As long as you’re cool with being a night owl
j1yuu8,1,2026-01-03 22:46:40,ima just get a rich partner 😭🙏/jk obv
kelly.jaghab,1,2026-01-03 22:23:49,Being a human
m.leavitt17,1,2026-01-03 21:12:55,HVAC
thatgirlme123,1,2026-01-03 20:30:48,Military
j.walk007,1,2026-01-03 20:15:01,McDonald’s
luv..bl.gl,3,2025-12-27 19:54:35,Hi I’m that person started off janitor (7yrs) now I’m a plane mechanic(3yrs)😁
cassidylifts,3,2025-12-27 19:04:02,Avoid anything AI will replace in the next 5 years
ih8tiktok46,4,2025-12-24 01:03:59,I love NoGatekeepingTok ❤️
bvalente04,3,2025-12-30 23:00:52,get your cdl and work for civil commercial you j drive and sit a job easiest 6 figures
thts430,1,2026-01-03 14:35:06,TV
isobo1,3,2025-12-27 03:02:57,GOD bless everyone
retroazalea_,4,2025-12-23 09:04:29,Gambling
klairespriv_,1,2026-01-03 14:24:22,genuinely have no specific interests i just want me some good money
joy_whale,4,2025-12-23 07:22:47,gambling
romanwncuwy,2,2025-12-30 17:09:09,Y’all playing but im deadahh
_www.pp,2,2025-12-30 17:02:40,"You look like a dentist or doctor, try a dentist practitioner, you barely need any schooling and makes loadss"
maladroit4everbabyyy,3,2025-12-26 21:23:21,pharmacist low key
tapinophobic,3,2025-12-26 20:53:42,If your work ethic is good try sales
vantizz0,1,2026-01-03 11:27:44,Gambling
abcdefghijklmps_,4,2025-12-22 18:08:30,Will come back to check for options haha
turtleshrugged,3,2025-12-26 14:59:03,"people saying ""healthcare"" with no passion is wild. tradework is where it's at."
littlefitzy80,3,2025-12-26 14:45:36,Try working on an oil rig
dylanculani,1,2026-01-03 04:00:32,Sales
camvrse,1,2026-01-03 02:48:38,Lobotomy worked for me
rhyv_rhylie,1,2026-01-02 23:17:41,a cashier
tortang_sigbin,1,2026-01-02 22:05:58,sorry but isn't that crazy how there are people with no passion? i mean that serves as our purpose and all that is the reason we are motivated in living life
braychampayne,1,2026-01-02 21:04:15,The only right answer is sales😭
cringemaster0826,1,2026-01-02 21:01:41,call center HAHAHA
makayla.js,0,2026-01-07 07:53:02,Marketing
kylodagoat,29,2025-12-05 16:16:13,Underwater basket weaving
imbatman_0001,194,2025-12-22 19:06:03,crazy how no one said real estate agent
